ISTD,ISTD_conc_nM
CE 18:1 d7 (ISTD),541050
Cer d18:1/12:0 (ISTD),25000
Cer d18:1/25:0 (ISTD),25000
DG 15:0_18:1 d7 [-18:1] (ISTD),15990
DG 15:0_18:1 d7 [-15:0] (ISTD),15990
Hex2Cer d18:1/12:0 (ISTD),25000
HexCer d18:1/12:0 (ISTD),25000
LPC 18:1 d7 (ISTD),48230
LPE 18:1 d7 (ISTD),10890
PC 33:1 d7 (ISTD),212450
PE 33:1 d7 (ISTD),8020
PG 33:1 d7 (ISTD),38090
PI 33:1 d7 (ISTD),10740
PS 33:1 d7 (ISTD),5410
SM 36:2 d9 (ISTD),41860
SM 30:1 (ISTD),25000
TG 48:1 d7 [SIM] (ISTD),70530
TG 48:1 d7 [-15:0] (ISTD),70530
