LIPID,ISTD,RF
CE 14:0,CE 18:1 d7 (ISTD),1
CE 15:0,CE 18:1 d7 (ISTD),1
CE 16:0,CE 18:1 d7 (ISTD),1
CE 16:1,CE 18:1 d7 (ISTD),1
CE 16:2,CE 18:1 d7 (ISTD),1
CE 17:0,CE 18:1 d7 (ISTD),1
CE 17:1,CE 18:1 d7 (ISTD),1
CE 18:0,CE 18:1 d7 (ISTD),1
CE 18:1,CE 18:1 d7 (ISTD),1
CE 18:1 d7 (ISTD),CE 18:1 d7 (ISTD),1
CE 18:2,CE 18:1 d7 (ISTD),1
CE 18:3,CE 18:1 d7 (ISTD),1
CE 20:1,CE 18:1 d7 (ISTD),1
CE 20:2,CE 18:1 d7 (ISTD),1
CE 20:3,CE 18:1 d7 (ISTD),1
CE 20:4,CE 18:1 d7 (ISTD),1
CE 20:5,CE 18:1 d7 (ISTD),1
CE 22:0,CE 18:1 d7 (ISTD),1
CE 22:1,CE 18:1 d7 (ISTD),1
CE 22:4,CE 18:1 d7 (ISTD),1
CE 22:5,CE 18:1 d7 (ISTD),1
CE 22:6,CE 18:1 d7 (ISTD),1
CE 24:0,CE 18:1 d7 (ISTD),1
CE 24:1,CE 18:1 d7 (ISTD),1
CE 24:4,CE 18:1 d7 (ISTD),1
CE 24:5,CE 18:1 d7 (ISTD),1
CE 24:6,CE 18:1 d7 (ISTD),1
Cer d18:0/16:0,Cer d18:1/25:0 (ISTD),1
Cer d18:0/18:0,Cer d18:1/25:0 (ISTD),1
Cer d18:0/20:0,Cer d18:1/25:0 (ISTD),1
Cer d18:0/22:0,Cer d18:1/25:0 (ISTD),1
Cer d18:0/24:0,Cer d18:1/25:0 (ISTD),1
Cer d18:0/24:1,Cer d18:1/25:0 (ISTD),1
Cer d18:1/12:0 (ISTD),Cer d18:1/25:0 (ISTD),1
Cer d18:1/16:0,Cer d18:1/25:0 (ISTD),1
Cer d18:1/17:0,Cer d18:1/25:0 (ISTD),1
Cer d18:1/18:0,Cer d18:1/25:0 (ISTD),1
Cer d18:1/20:0,Cer d18:1/25:0 (ISTD),1
Cer d18:1/22:0,Cer d18:1/25:0 (ISTD),1
Cer d18:1/24:0,Cer d18:1/25:0 (ISTD),1
Cer d18:1/24:1,Cer d18:1/25:0 (ISTD),1
Cer d18:1/25:0 (ISTD),Cer d18:1/25:0 (ISTD),1
Cer d18:1/26:0,Cer d18:1/25:0 (ISTD),1
Cer d18:2/16:0,Cer d18:1/25:0 (ISTD),1
Cer d18:2/22:0,Cer d18:1/25:0 (ISTD),1
Cer d18:2/24:1,Cer d18:1/25:0 (ISTD),1
DG 14:0_16:0 [-14:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_16:0 [-16:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_16:1 [-14:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_16:1 [-16:1],DG 15:0_18:1 d7 [-18:1] (ISTD),1
DG 14:0_18:0 [-14:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_18:0 [-18:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_18:1 [-14:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_18:1 [-18:1],DG 15:0_18:1 d7 [-18:1] (ISTD),1
DG 14:0_18:2 [-14:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 14:0_18:2 [-18:2],DG 15:0_18:1 d7 [-18:1] (ISTD),1
DG 14:1_20:0 [-20:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 15:0_18:1 d7 [-15:0] (ISTD),DG 15:0_18:1 d7 [-15:0] (ISTD),1
DG 15:0_18:1 d7 [-18:1] (ISTD),DG 15:0_18:1 d7 [-18:1] (ISTD),1
DG 16:0_16:0 [-16:0],DG 15:0_18:1 d7 [-15:0] (ISTD),0.5
DG 16:0_16:1 [-16:0],DG 15:0_18:1 d7 [-15:0] (ISTD),1
