filename,Q1,Q3,RT
CE 14:0,614.6,369.3,7.133333333
CE 15:0,628.6,369.3,7.216666667
CE 16:2,638.6,369.3,6.983333333
CE 16:1,640.6,369.3,7.15
CE 16:0,642.6,369.3,7.3
CE 17:1,654.6,369.3,7.216666667
CE 17:0,656.6,369.3,7.366666667
CE 18:3,664.6,369.3,7.05
CE 18:2,666.6,369.3,7.183333333
CE 18:1,668.6,369.3,7.3
CE 18:0,670.7,369.3,7.45
CE 18:1 d7 (ISTD),675.7,369.1,7.3
CE 20:5,688.6,369.3,6.933333333
CE 20:4,690.6,369.3,7.083333333
CE 20:3,692.6,369.3,7.183333333
CE 20:2,694.7,369.3,7.316666667
CE 20:1,696.7,369.3,7.433333333
CE 22:6,714.6,369.3,7.016666667
CE 22:5,716.6,369.3,7.083333333
CE 22:4,718.7,369.3,7.216666667
CE 22:1,724.7,369.3,7.583333333
CE 22:0,726.7,369.3,7.7
CE 24:6,742.7,369.3,7.166666667
CE 24:5,744.7,369.3,7.25
CE 24:4,746.7,369.3,7.366666667
CE 24:1,752.7,369.3,7.683333333
CE 24:0,754.7,369.3,7.833333333
COH [95],369.4,95.2,4.5
COH [161],369.4,161.2,4.5
COH d7 [95] (ISTD),376.4,95.2,4.433333333
COH d7 [161] (ISTD),376.4,161.2,4.433333333
Cer d18:1/12:0 (ISTD) [M-H20>264],464.4,264.2,4.15
Cer d18:1/12:0 (ISTD),482.4,264.2,4.15
Cer d18:2/16:0,536.7,262.4,4.616666667
Cer d18:1/16:0,538.5,264.3,4.933333333
Cer d18:1/17:0,552.6,264.3,5.1
Cer d18:1/18:0,566.6,264.3,5.283333333
Cer d18:1/20:0,594.6,264.3,5.616666667
Cer d18:2/22:0,620.7,262.4,5.666666667
Cer d18:1/22:0,622.6,264.3,5.883333333
Cer d18:1/25:0 (ISTD) [M-H20>264],646.4,264.2,6.266666667
Cer d18:2/24:1,646.7,262.4,5.666666667
Cer d18:1/24:1,648.6,264.3,5.883333333
Cer d18:1/24:0,650.6,264.3,6.15
Cer d18:1/25:0 (ISTD),664.4,264.2,6.266666667
Cer d18:1/26:0,678.7,264.4,6.383333333
Cer d18:0/16:0,540.5,522.5,5.066666667
Cer d18:0/18:0,568.6,550.6,5.416666667
Cer d18:0/20:0,596.6,578.6,5.733333333
Cer d18:0/22:0,624.6,606.6,6
Cer d18:0/24:1,650.6,632.6,6.15
Cer d18:0/24:0,652.7,634.7,6.233333333
DG 14:0_16:1 [-16:1],556.5,285.2,4.916666667
DG 14:0_16:1 [-14:0],556.5,311.3,4.9
DG 14:0_16:0 [-16:0],558.5,285.2,5.2
DG 14:0_16:0 [-14:0],558.5,313.3,5.2
DG 14:0_18:2 [-18:2],582.5,285.2,4.983333333
DG 16:1_16:1 [-16:1],582.5,311.2,4.983333333
DG 14:0_18:2 [-14:0],582.5,337.3,4.983333333
DG 14:0_18:1 [-18:1],584.5,285.2,5.25
DG 16:0_16:1 [-16:0],584.5,311.2,5.266666667
DG 16:0_16:1 [-16:1],584.5,313.2,5.266666667
DG 14:0_18:1 [-14:0],584.5,339.3,5.25
DG 14:0_18:0 [-18:0],586.5,285.2,5.533333333
DG 16:0_16:0 [-16:0],586.5,313.2,5.533333333
DG 14:0_18:0 [-14:0],586.5,341.3,5.533333333
DG 15:0_18:1 d7 (ISTD) [-18:1],605.1,299,5.4
DG 15:0_18:1 d7 (ISTD) [-15:0],605.1,346.3,5.4
DG 16:1_18:1 [-18:1],610.5,311.2,5.316666667
DG 16:0_18:2 [-18:2],610.5,313.2,5.333333333
DG 16:0_18:2 [-16:0],610.5,337.2,5.333333333
DG 16:1_18:1 [-16:1],610.5,339.2,5.316666667
DG 14:1_20:0 [-20:0],612.6,283.3,5.083333333
DG 16:1_18:0 [-18:0],612.6,311.3,5.583333333
DG 16:0_18:1 [-18:1],612.6,313.3,5.583333333
DG 16:0_18:1 [-16:0],612.6,339.3,5.583333333
DG 16:0_18:0 [-18:0],614.6,313.3,5.816666667
DG 16:0_18:0 [-16:0],614.6,341.3,5.816666667
DG 16:0_20:4 [-20:4],634.5,313.2,5.3
DG 18:2_18:2 [-18:2],634.5,337.2,5.133333333
DG 18:1_18:3 [-18:3],634.5,339.2,5.166666667
DG 16:0_20:3 [-20:3],636.6,313.3,5.433333333
DG 18:1_18:2 [-18:1],636.6,337.3,5.383333333
DG 18:1_18:2 [-18:2],636.6,339.3,5.383333333
DG 18:0_18:2 [-18:0],638.6,337.3,5.65
DG 18:1_18:1 [-18:1],638.6,339.3,5.6
DG 18:0_18:2 [-18:2],638.6,341.3,5.65
DG 18:0_18:1 [-18:0],640.6,339.3,5.866666667
DG 18:0_18:1 [-18:1],640.6,341.3,5.866666667
DG 18:0_18:0 [-18:0],642.6,341.3,6.083333333
DG 16:0_20:0 [-16:0],642.7,369.3,6.083333333
DG 16:0_22:6 [-22:6],658.5,313.2,5.216666667
DG 18:2_20:4 [-20:4],658.5,337.2,5.083333333
DG 16:0_22:5 [-22:5],660.6,313.3,#VALUE!
DG 18:2_20:3 [-20:3],660.6,337.3,5.316666667
DG 18:1_20:4 [-20:4],660.6,339.3,5.333333333
DG 18:1_20:4 [-18:1],660.6,361.3,5.333333333
DG 18:1_20:3 [-20:3],662.6,339.3,5.55
DG 18:0_20:4 [-20:4],662.6,341.3,5.6
DG 18:1_20:0 [-18:1],668.7,369.3,7.3
Hex2Cer d18:1/12:0 (ISTD),806.6,264.2,3.55
GM3 d18:1/16:0 [264],1153.7,264.3,3.75
GM3 d18:1/18:0 [264],1181.8,264.3,4.1
GM3 d18:1/20:0 [264],1209.8,264.3,4.433333333
GM3 d18:1/22:0 [264],1237.8,264.3,4.766666667
GM3 d18:1/24:1 [264],1263.8,264.3,4.766666667
GM3 d18:1/24:0 [264],1265.8,264.3,5.066666667
Hex2Cer d18:1/12:0 (ISTD) [M-H20 > 264],788.6,264.2,3.55
Hex2Cer d18:1/12:0 (ISTD) [282],806.6,282.2,3.55
Hex2Cer d18:1/16:0 [264],862.6,264.3,4.316666667
Hex2Cer d18:1/16:0 d3 (ISTD) [264],865.7,264.2,4.316666667
Hex2Cer d18:1/16:0 d3 (ISTD) [282],865.7,282.2,3.983333333
Hex2Cer d18:1/16:0 d3 (ISTD) [-HexAll],865.7,523.7,4.316666667
Hex2Cer d18:1/18:0 [264],890.7,264.3,4.666666667
Hex2Cer d18:1/20:0 [264],918.7,264.3,5.016666667
Hex2Cer d18:1/22:0 [264],946.7,264.3,5.333333333
Hex2Cer d18:1/24:1 [264],972.7,264.3,5.333333333
Hex2Cer d18:1/24:0 [264],974.8,264.3,5.633333333
Hex3Cer d18:1/16:0 [264],1024.7,264.3,4.166666667
Hex3Cer d18:1/18:0 [264],1052.7,264.3,4.533333333
Hex3Cer d18:1/18:0 d3 (ISTD) [264],1055.7,264.2,4.533333333
Hex3Cer d18:1/18:0 d3 (ISTD) [282],1055.7,282.2,4.483333333
Hex3Cer d18:1/18:0 d3 (ISTD) [-HexAll],1055.7,551.7,4.316666667
Hex3Cer d18:1/20:0 [264],1080.7,264.3,4.9
Hex3Cer d18:1/22:0 [264],1108.8,264.3,5.2
Hex3Cer d18:1/24:1 [264],1134.8,264.3,5.2
Hex3Cer d18:1/24:0 [264],1136.8,264.3,5.5
HexCer d18:1/08:0 (ISTD) [264],587.4,264.2,2.983333333
HexCer d18:1/12:0 (ISTD) [M-H2O > 264],626.5,264.2,3.733333333
HexCer d18:1/12:0 (ISTD) [264],644.5,264.2,3.733333333
HexCer d18:1/12:0 (ISTD) [282],644.5,282.2,3.733333333
HexCer d18:1/16:0 [264],700.6,264.3,4.516666667
HexCer d18:1/16:0 d3 (ISTD) [264],703.6,264.2,4.3
HexCer d18:1/16:0 d3 (ISTD),703.6,264.3,4.3
