LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
CE 14:0,CE 14:0,TRUE,614.6,369.3,7.133333333
CE 15:0,CE 15:0,TRUE,628.6,369.3,7.216666667
CE 16:0,CE 16:0,TRUE,642.6,369.3,7.3
CE 16:1,CE 16:1,TRUE,640.6,369.3,7.15
CE 16:2,CE 16:2,TRUE,638.6,369.3,6.983333333
CE 17:0,CE 17:0,TRUE,656.6,369.3,7.366666667
CE 17:1,CE 17:1,TRUE,654.6,369.3,7.216666667
CE 18:0,CE 18:0,TRUE,670.7,369.3,7.45
CE 18:1,CE 18:1,TRUE,668.6,369.3,7.3
CE 18:1 d7 (ISTD),CE 18:1[D7],TRUE,675.7,369.1,7.3
CE 18:2,CE 18:2,TRUE,666.6,369.3,7.183333333
CE 18:3,CE 18:3,TRUE,664.6,369.3,7.05
CE 20:1,CE 20:1,TRUE,696.7,369.3,7.433333333
CE 20:2,CE 20:2,TRUE,694.7,369.3,7.316666667
CE 20:3,CE 20:3,TRUE,692.6,369.3,7.183333333
CE 20:4,CE 20:4,TRUE,690.6,369.3,7.083333333
CE 20:5,CE 20:5,TRUE,688.6,369.3,6.933333333
CE 22:0,CE 22:0,TRUE,726.7,369.3,7.7
CE 22:1,CE 22:1,TRUE,724.7,369.3,7.583333333
CE 22:4,CE 22:4,TRUE,718.7,369.3,7.216666667
CE 22:5,CE 22:5,TRUE,716.6,369.3,7.083333333
CE 22:6,CE 22:6,TRUE,714.6,369.3,7.016666667
CE 24:0,CE 24:0,TRUE,754.7,369.3,7.833333333
CE 24:1,CE 24:1,TRUE,752.7,369.3,7.683333333
CE 24:4,CE 24:4,TRUE,746.7,369.3,7.366666667
CE 24:5,CE 24:5,TRUE,744.7,369.3,7.25
CE 24:6,CE 24:6,TRUE,742.7,369.3,7.166666667
Cer d18:0/16:0,Cer d18:0/16:0,TRUE,540.5,522.5,5.066666667
Cer d18:0/18:0,Cer d18:0/18:0,TRUE,568.6,550.6,5.416666667
Cer d18:0/20:0,Cer d18:0/20:0,TRUE,596.6,578.6,5.733333333
Cer d18:0/22:0,Cer d18:0/22:0,TRUE,624.6,606.6,6
Cer d18:0/24:0,Cer d18:0/24:0,TRUE,652.7,634.7,6.233333333
Cer d18:0/24:1,Cer d18:0/24:1,TRUE,650.6,632.6,6.15
Cer d18:1/12:0 (ISTD),Cer d18:1/12:0,TRUE,482.4,264.2,4.15
Cer d18:1/16:0,Cer d18:1/16:0,TRUE,538.5,264.3,4.933333333
Cer d18:1/17:0,Cer d18:1/17:0,TRUE,552.6,264.3,5.1
Cer d18:1/18:0,Cer d18:1/18:0,TRUE,566.6,264.3,5.283333333
Cer d18:1/20:0,Cer d18:1/20:0,TRUE,594.6,264.3,5.616666667
Cer d18:1/22:0,Cer d18:1/22:0,TRUE,622.6,264.3,5.883333333
Cer d18:1/24:0,Cer d18:1/24:0,TRUE,650.6,264.3,6.15
Cer d18:1/24:1,Cer d18:1/24:1,TRUE,648.6,264.3,5.883333333
Cer d18:1/25:0 (ISTD),Cer d18:1/25:0,TRUE,664.4,264.2,6.266666667
Cer d18:1/26:0,Cer d18:1/26:0,TRUE,678.7,264.4,6.383333333
Cer d18:2/16:0,Cer d18:2/16:0,TRUE,536.7,262.4,4.616666667
Cer d18:2/22:0,Cer d18:2/22:0,TRUE,620.7,262.4,5.666666667
Cer d18:2/24:1,Cer d18:2/24:1,TRUE,646.7,262.4,5.666666667
DG 14:0_16:0 [-14:0],DG 14:0_16:0,FALSE,558.5,313.3,5.2
DG 14:0_16:0 [-16:0],DG 14:0_16:0,TRUE,558.5,285.2,5.2
DG 14:0_16:1 [-14:0],DG 14:0_16:1,FALSE,556.5,311.3,4.9
DG 14:0_16:1 [-16:1],DG 14:0_16:1,TRUE,556.5,285.2,4.916666667
DG 14:0_18:0 [-14:0],DG 14:0_18:0,FALSE,586.5,341.3,5.533333333
DG 14:0_18:0 [-18:0],DG 14:0_18:0,TRUE,586.5,285.2,5.533333333
DG 14:0_18:1 [-14:0],DG 14:0_18:1,TRUE,584.5,339.3,5.25
DG 14:0_18:1 [-18:1],DG 14:0_18:1,FALSE,584.5,285.2,5.25
DG 14:0_18:2 [-14:0],DG 14:0_18:2,FALSE,582.5,337.3,4.983333333
DG 14:0_18:2 [-18:2],DG 14:0_18:2,TRUE,582.5,285.2,4.983333333
DG 14:1_20:0 [-20:0],DG 14:1_20:0,TRUE,612.6,283.3,5.083333333
DG 15:0_18:1 d7 [-15:0] (ISTD),DG 15:0_18:1[D7],TRUE,605.1,346.3,5.4
DG 15:0_18:1 d7 [-18:1] (ISTD),DG 15:0_18:1[D7],TRUE,605.1,299,5.4
DG 16:0_16:0 [-16:0],DG 16:0_16:0,TRUE,586.5,313.2,5.533333333
DG 16:0_16:1 [-16:0],DG 16:0_16:1,FALSE,584.5,311.2,5.266666667
DG 16:0_16:1 [-16:1],DG 16:0_16:1,TRUE,584.5,313.2,5.266666667
DG 16:0_18:0 [-16:0],DG 16:0_18:0,FALSE,614.6,341.3,5.816666667
DG 16:0_18:0 [-18:0],DG 16:0_18:0,TRUE,614.6,313.3,5.816666667
DG 16:0_18:1 [-16:0],DG 16:0_18:1,FALSE,612.6,339.3,5.583333333
DG 16:0_18:1 [-18:1],DG 16:0_18:1,TRUE,612.6,313.3,5.583333333
DG 16:0_18:2 [-16:0],DG 16:0_18:2,TRUE,610.5,337.2,5.333333333
DG 16:0_18:2 [-18:2],DG 16:0_18:2,FALSE,610.5,313.2,5.333333333
DG 16:0_20:0 [-16:0],DG 16:0_20:0,TRUE,642.7,369.3,6.083333333
DG 16:0_20:3 [-20:3],DG 16:0_20:3,TRUE,636.6,313.3,5.433333333
