Analysis Sequence	Sample ID	Subject ID	Sampling Time Point
288	LT_batch5_28	C001	tp1
276	LT_batch5_16	C001	tp2
272	LT_batch5_12	C001	tp3
262	LT_batch5_2	C001	tp4
268	LT_batch5_8	C001	tp5
105	LT_batch2_40	C002	tp1
94	LT_batch2_29	C002	tp2
87	LT_batch2_22	C002	tp3
124	LT_batch2_59	C002	tp4
109	LT_batch2_44	C002	tp5
45	LT_batch1_45	C003	tp1
61	LT_batch1_61	C003	tp2
49	LT_batch1_49	C003	tp3
48	LT_batch1_48	C003	tp4
3	LT_batch1_3	C003	tp5
238	LT_batch4_43	C004	tp1
226	LT_batch4_31	C004	tp2
224	LT_batch4_29	C004	tp3
255	LT_batch4_60	C004	tp4
228	LT_batch4_33	C004	tp5
80	LT_batch2_15	C006	tp1
110	LT_batch2_45	C006	tp2
81	LT_batch2_16	C006	tp3
72	LT_batch2_7	C006	tp4
84	LT_batch2_19	C006	tp5
233	LT_batch4_38	C007	tp1
216	LT_batch4_21	C007	tp2
221	LT_batch4_26	C007	tp3
219	LT_batch4_24	C007	tp4
253	LT_batch4_58	C007	tp5
5	LT_batch1_5	C008	tp1
41	LT_batch1_41	C008	tp2
57	LT_batch1_57	C008	tp3
65	LT_batch1_65	C008	tp4
21	LT_batch1_21	C008	tp5
115	LT_batch2_50	C011	tp1
83	LT_batch2_18	C011	tp2
114	LT_batch2_49	C011	tp3
122	LT_batch2_57	C011	tp4
113	LT_batch2_48	C011	tp5
189	LT_batch3_59	C012	tp1
148	LT_batch3_18	C012	tp2
175	LT_batch3_45	C012	tp3
133	LT_batch3_3	C012	tp4
138	LT_batch3_8	C012	tp5
200	LT_batch4_5	C013	tp1
230	LT_batch4_35	C013	tp2
199	LT_batch4_4	C013	tp3
243	LT_batch4_48	C013	tp4
248	LT_batch4_53	C013	tp5
242	LT_batch4_47	C014	tp1
204	LT_batch4_9	C014	tp2
241	LT_batch4_46	C014	tp3
220	LT_batch4_25	C014	tp4
260	LT_batch4_65	C014	tp5
79	LT_batch2_14	C015	tp1
112	LT_batch2_47	C015	tp2
100	LT_batch2_35	C015	tp3
123	LT_batch2_58	C015	tp4
75	LT_batch2_10	C015	tp5
102	LT_batch2_37	C017	tp1
104	LT_batch2_39	C017	tp2
78	LT_batch2_13	C017	tp3
90	LT_batch2_25	C017	tp4
86	LT_batch2_21	C017	tp5
167	LT_batch3_37	C018	tp1
137	LT_batch3_7	C018	tp2
155	LT_batch3_25	C018	tp3
136	LT_batch3_6	C018	tp4
158	LT_batch3_28	C018	tp5
317	LT_batch5_57	C020	tp1
273	LT_batch5_13	C020	tp2
282	LT_batch5_22	C020	tp3
308	LT_batch5_48	C020	tp4
314	LT_batch5_54	C020	tp5
266	LT_batch5_6	C021	tp1
281	LT_batch5_21	C021	tp2
302	LT_batch5_42	C021	tp3
290	LT_batch5_30	C021	tp4
324	LT_batch5_64	C021	tp5
291	LT_batch5_31	C022	tp1
286	LT_batch5_26	C022	tp2
301	LT_batch5_41	C022	tp3
307	LT_batch5_47	C022	tp4
300	LT_batch5_40	C022	tp5
2	LT_batch1_2	C023	tp1
20	LT_batch1_20	C023	tp2
25	LT_batch1_25	C023	tp3
53	LT_batch1_53	C023	tp4
44	LT_batch1_44	C023	tp5
245	LT_batch4_50	C024	tp1
246	LT_batch4_51	C024	tp2
201	LT_batch4_6	C024	tp3
244	LT_batch4_49	C024	tp4
251	LT_batch4_56	C024	tp5
252	LT_batch4_57	C025	tp1
239	LT_batch4_44	C025	tp2
206	LT_batch4_11	C025	tp3
249	LT_batch4_54	C025	tp4
205	LT_batch4_10	C025	tp5
152	LT_batch3_22	C026	tp1
131	LT_batch3_1	C026	tp2
159	LT_batch3_29	C026	tp3
171	LT_batch3_41	C026	tp4
193	LT_batch3_63	C026	tp5
202	LT_batch4_7	C027	tp1
210	LT_batch4_15	C027	tp2
227	LT_batch4_32	C027	tp3
209	LT_batch4_14	C027	tp4
258	LT_batch4_63	C027	tp5
30	LT_batch1_30	C028	tp1
40	LT_batch1_40	C028	tp2
56	LT_batch1_56	C028	tp3
35	LT_batch1_35	C028	tp4
58	LT_batch1_58	C028	tp5
51	LT_batch1_51	C029	tp1
62	LT_batch1_62	C029	tp2
18	LT_batch1_18	C029	tp3
59	LT_batch1_59	C029	tp4
47	LT_batch1_47	C029	tp5
108	LT_batch2_43	C030	tp1
88	LT_batch2_23	C030	tp2
74	LT_batch2_9	C030	tp3
67	LT_batch2_2	C030	tp4
71	LT_batch2_6	C030	tp5
283	LT_batch5_23	C031	tp1
287	LT_batch5_27	C031	tp2
265	LT_batch5_5	C031	tp3
285	LT_batch5_25	C031	tp4
313	LT_batch5_53	C031	tp5
68	LT_batch2_3	C032	tp1
121	LT_batch2_56	C032	tp2
128	LT_batch2_63	C032	tp3
125	LT_batch2_60	C032	tp4
99	LT_batch2_34	C032	tp5
229	LT_batch4_34	C034	tp1
257	LT_batch4_62	C034	tp2
222	LT_batch4_27	C034	tp3
231	LT_batch4_36	C034	tp4
247	LT_batch4_52	C034	tp5
183	LT_batch3_53	C035	tp1
164	LT_batch3_34	C035	tp2
154	LT_batch3_24	C035	tp3
153	LT_batch3_23	C035	tp4
161	LT_batch3_31	C035	tp5
315	LT_batch5_55	C036	tp1
318	LT_batch5_58	C036	tp2
320	LT_batch5_60	C036	tp3
270	LT_batch5_10	C036	tp4
279	LT_batch5_19	C036	tp5
91	LT_batch2_26	C037	tp1
118	LT_batch2_53	C037	tp2
103	LT_batch2_38	C037	tp3
77	LT_batch2_12	C037	tp4
126	LT_batch2_61	C037	tp5
149	LT_batch3_19	C038	tp1
191	LT_batch3_61	C038	tp2
135	LT_batch3_5	C038	tp3
177	LT_batch3_47	C038	tp4
156	LT_batch3_26	C038	tp5
46	LT_batch1_46	C039	tp1
10	LT_batch1_10	C039	tp2
11	LT_batch1_11	C039	tp3
55	LT_batch1_55	C039	tp4
13	LT_batch1_13	C039	tp5
19	LT_batch1_19	C040	tp1
31	LT_batch1_31	C040	tp2
43	LT_batch1_43	C040	tp3
14	LT_batch1_14	C040	tp4
22	LT_batch1_22	C040	tp5
117	LT_batch2_52	C042	tp1
98	LT_batch2_33	C042	tp2
101	LT_batch2_36	C042	tp3
130	LT_batch2_65	C042	tp4
89	LT_batch2_24	C042	tp5
144	LT_batch3_14	C046	tp1
147	LT_batch3_17	C046	tp2
170	LT_batch3_40	C046	tp3
